wavelength,Baseline 100%T,empty_1,empty_2_1,empty_2_2,empty_2_3,empty_2_4,empty_2_5,empty_2_6,empty_2_7,empty_2_8,empty_2_9,empty_2_10,empty_2_11,empty_2_12,empty_2_13,empty_2_14,empty_2_15,empty_3_1,empty_3_2,empty_3_3,empty_3_4,empty_3_5,VG05_1_1,VG05_1_2,VG05_1_3,VG05_1_4,VG05_1_5,Baseline 100%T.1,empty_4_1,empty_4_2,VG09-12_1_0,VG09-12_1_2,VG09-12_1_4,VG09-12_1_6,VG09-12_1_8,VG09-12_1_10,VG09-12_1_12,VG09-12_1_14,VG09-12_1_16,VG09-12_1_18,VG09-12_1_20,VG09-12_1_22,VG09-12_1_24,VG09-12_1_26,VG09-12_1_28,VG09-12_1_30,VG09-12_1_32,VG09-12_1_34,VG09-12_1_36,VG09-12_1_38,VG09-12_1_40,VG09-12_1_42,VG09-12_1_44,VG09-12_1_46,VG09-12_1_48,VG09-12_1_50,empty_5_1,empty_5_2,empty_5_3,empty_5_4,empty_5_5
1775,0.05489972591,0.9967381287000001,0.9947875976999999,0.9929995728000001,0.9924274445000001,0.9927274323,0.9925663757,0.9931777191000001,0.9935417175000001,0.9936986541999999,0.9936951447,0.9942732239000001,0.9943821716,0.9949134064,0.9951919556,0.9971820067999999,0.9960887146,1.000316849,1.0006457519999998,1.000757065,1.001592255,1.001691208,0.5319662094000001,0.5323624039,0.5328033447,0.5328952789,0.5330781174,0.055321230889999996,1.000381851,1.001054306,1.001492844,0.874571228,0.5202879333,0.5139870453000001,0.520696106,0.5226580048,0.5267498398,0.5264971924,0.5716373444,0.5353144836,0.5350645828,0.5349811172,0.5346199416999999,0.5350574112,0.5357450867,0.5360091782,0.5365864563,0.5366806411999999,0.5370110703000001,0.5374813079999999,0.5172718048,0.49191291810000004,1.005397568,1.008597412,1.009793777,1.0103916929999999,1.0112412259999999,1.011372833,1.011569138,1.0115673829999998,1.011826172
1765,0.056586904529999996,0.9966976929000001,0.9949494934,0.9930285644999999,0.9923229980000001,0.9925401306,0.9923915863,0.9931005096,0.9932525635,0.9935901642,0.9939161682,0.9941381836,0.9942215729,0.9948795319,0.9950687408000001,0.9971460724000001,0.9961698151,1.000276108,1.000489197,1.000754089,1.001109238,1.001377716,0.5320754242,0.532165184,0.5324655914,0.5325747299,0.5328475952,0.05700670719,1.000620575,1.001227646,1.001282959,0.8750523376,0.5195458984,0.5140073395,0.5206223297,0.522183342,0.5265705109000001,0.5259144974000001,0.5716123581,0.5353261948,0.5349396895999999,0.5347682953,0.5344239426,0.5352122116,0.5360673141,0.5358562469,0.5364519882,0.5365784073,0.5370317078,0.5375138474,0.5173880385999999,0.4913514709,1.0052733609999998,1.008587952,1.010112381,1.010448074,1.011166229,1.0113002009999998,1.0118516540000002,1.0117223359999998,1.012027512
1755,0.05852805138,0.9966156769,0.9947814178000001,0.9938562774999999,0.9921146393,0.9924312592,0.9925779724,0.9930814362,0.9933247375,0.9934454346,0.9939440918,0.9940412902999999,0.9943684387,0.9947412872,0.9951845550999999,0.9957660675,0.9961200714,1.000048676,1.000573883,1.0008386230000001,1.001166077,1.001464691,0.5318981934,0.5321147919,0.5322142792,0.532562027,0.5328658295,0.05896615982,1.000625992,1.0010926820000001,1.001497498,0.8753372192000001,0.5188470459,0.5138312149,0.52008255,0.5218647766,0.5262163925,0.5255088806,0.5716031265,0.5353144836,0.5349779129000001,0.5349778366,0.5342477036,0.5350966643999999,0.5358354568,0.5356141281,0.5361861038,0.5362865448,0.5368132782,0.5371274948,0.5171229172,0.4915486145,1.0056268309999998,1.008867874,1.0099834440000002,1.010426254,1.0111054990000001,1.011549683,1.011773911,1.011923294,1.011948853
1745,0.06037975311,0.9965521240000002,0.9946992493000001,0.9937982178,0.9921800232,0.992514801,0.9923728943000001,0.9927592468,0.9931482697,0.9934426116999999,0.9939753723,0.9941082764,0.9942001343,0.9947739409999999,0.9949948120000001,0.9955848693999999,0.99615242,0.9999328613,1.000621643,1.000972519,1.001229782,1.001656265,0.5318295288,0.5320724869,0.5322854614,0.5325057602,0.5328699493,0.06083665848,1.000456085,1.000732574,1.0011194609999998,0.875348587,0.5185038376,0.5132291794,0.5194245529,0.5212102509000001,0.5263312912,0.5253570557,0.5714206696,0.5349566269,0.5347128677,0.5346173096,0.5339165878,0.5347845459,0.5355789566,0.535678978,0.5363518523999999,0.5360307693,0.5364973068,0.5371376419,0.5169025039999999,0.4910585785,1.005181808,1.008797531,1.010064697,1.01009819,1.011155472,1.011323776,1.0115864559999999,1.0118050379999999,1.011863022
1735,0.06230379105,0.9967716217,0.9949613190000001,0.9934646605999999,0.9924494934000001,0.9925378417999999,0.9924287415,0.9930178833,0.9931224059999999,0.9935760498,0.994021759,0.9941336823,0.9945954895,0.9948126221,0.9952595519999999,0.9959021759,0.9963116455,1.000245819,1.000611877,1.0008307650000001,1.0012973790000002,1.0020660399999999,0.5318853378,0.5320846558,0.5324174881,0.5324863052,0.5327219391,0.06277964115,1.000677338,1.001025467,1.0013751979999999,0.8755799865999999,0.5186854172,0.5131985473999999,0.518751564,0.5206949614999999,0.5264365005,0.5252022552,0.5711699295,0.5347755051,0.5346999359,0.5346971893,0.5340203476,0.5347122574000001,0.5352865601,0.5359025574,0.5359445953,0.5363089371,0.5367092514,0.5369898605,0.5167548752,0.49141780850000005,1.005340195,1.0088554379999999,1.010011673,1.010300751,1.011332245,1.011411209,1.011607208,1.011825714,1.011643295
1725,0.06429243088,0.9964595032,0.9945701599,0.9932363891999999,0.9920453644,0.9921127319,0.9920531464,0.9927626037999999,0.9931339264000001,0.9933604431,0.9937052155,0.9938868713,0.9942774200000001,0.9946337891,0.9949499512,0.9954753876,0.9959285736,1.000110168,1.000530243,1.000824814,1.001326218,1.001766434,0.5317353058,0.531989975,0.5319912338,0.5322268677,0.5326613617,0.06477949142,1.000417328,,1.001080475,0.8754232025,0.5194212723,0.511920166,0.5178873062,0.5198935318,0.5260187912,0.5248059464,0.570925293,0.5347769928,0.5342692184,0.5342373276,0.5340445709,0.5345589447,0.5352616119,0.5351199341,0.5354747008999999,0.5359637833,0.5362372589000001,0.5368423461999999,0.5163465881,0.4914135742,1.0051284790000001,1.00860939,1.009881134,1.0102696230000001,1.0112325290000002,1.011218567,1.011590118,1.01171196,1.011804352
1715,0.06631819248,0.9965631104,0.9945661163,0.993558197,0.9921356201,0.9918323517000001,0.9922232056,0.9928635405999999,0.9931930542,0.9933055115,0.9935546112,0.9939260864,0.994294281,0.9946784973,0.9949767303,0.9956434631000001,0.9962033844,1.000407791,1.000552444,1.000931396,1.001320572,1.0018018340000001,0.5314806747,0.5317664337,0.5321155167,0.5323474503,0.5324880981,0.06681864738,1.0006271359999999,,1.001177444,0.8758940887,0.5190024948,0.5111983871,0.5164431763,0.5191155243,0.5253868866,0.5247319412,0.571002121,0.5346437836,0.5343619537,0.5343325806,0.5337567902,0.5343400192,0.5351933289,0.5354297256,0.5355442047,0.5360186004999999,0.5363153839,0.5366237259,0.5162692261,0.49128963470000003,1.005251312,1.008505707,1.0099258420000001,1.010091171,1.0111991120000001,1.011407013,1.01162323,1.011845245,1.0117654420000002
1705,0.0684224987,0.9964225768999999,0.9944303894,0.9931211853,0.9919053649999999,0.9918095398,0.9921301269999999,0.9925538635,0.9929358673,0.9929817963,0.9933998108000001,0.9937629699999999,0.9942574309999999,0.9945031738,0.9950115204,0.9954627227999999,0.9958422089,1.0001331329999998,1.000387802,1.000716476,1.0011342619999999,1.0015940859999999,0.5313685608000001,0.5315530396,0.5319132233,0.5321225357,0.5324624252,0.06893417358,1.0005423740000001,,1.0012490840000001,0.8756743622000001,0.5177212905999999,0.5116351318,0.517005806,0.5191843414,0.5250704956,0.5247529602000001,0.5708101273,0.5346178436,0.5339662933,0.534001236,0.5336336517,0.5343480682,0.5350093842,0.5354600525,0.5354994583,0.535618248,0.5361866379,0.5365082169000001,0.5159903717000001,0.4912699127,1.005058975,1.008404617,1.0097543329999998,1.0101816559999999,1.01088295,1.0111346440000002,1.011348724,1.011608963,1.011631012
1695,0.07055514336,0.9964426422,0.9945063019,0.9927822876000001,0.9918399048000001,0.9916782379,0.9920952606,0.9924675750999999,0.9930348969,0.9929909514999999,0.9933945464999999,0.9937263489,0.9940414429000001,0.9944508362000001,0.9949521637,0.9955117035000001,0.9959117126,0.9999598693999999,1.000317078,1.000562286,1.0008949280000001,1.001693954,0.5314652252,0.5314553833,0.5316843414,0.5319623947000001,0.5321992493,0.07107063292999999,1.000544662,,1.0012378690000001,0.8757871246000001,0.5182738875999999,0.5107123184,0.5156972504,0.5182125092,0.524875946,0.5246076584,0.5704756546,0.5343812561,0.5340058136,0.5340769196,0.5333570099,0.5342556381,0.5348262787,0.5352124405,0.5352127074999999,0.5355208588,0.5360550307999999,0.5364375686999999,0.5157839203000001,0.4910369492,1.005183792,1.008355713,1.010087585,1.0101148990000002,1.0110031130000001,1.011087646,1.01135788,1.011516724,1.011615372
1685,0.07275558949,0.9964518738,0.9948742676000001,0.9924540709999999,0.9920409393,0.9917006682999999,0.9920091248,0.9926364136,0.9929550171,0.9931456756999999,0.9935137939,0.9937874603,0.9941951752,0.9943965912,0.9948683167,0.9954349518,0.9960514068999999,0.9999219513,1.000414505,1.000674515,1.0010706329999999,1.001910553,0.5313125229,0.5314651871,0.5318249893,0.5319222641,0.5320743179,0.07329968929,1.00041214,,1.00101265,0.8755636597,0.5173727798000001,0.5107538223,0.5157567215000001,0.5183261108,0.5244870758,0.5243783569,0.5702868652,0.5341672134000001,0.5339336395000001,0.5335857773,0.5333026123,0.5338793564000001,0.5344405746,0.5345008469,0.5350682068,0.5354166030999999,0.5356852341,0.536061821,0.5153989792,0.4910587692,1.005087891,1.008161697,1.009895172,1.0098563390000002,1.0107318120000002,1.011001129,1.0112033079999998,1.011401215,1.011570435
