wavelength,Baseline 100%T,run_21,run_22,run_23,Baseline 100%T.1,run_24,run_25,run_26,run_27,Baseline 100%T.2,run_28,Baseline 100%T.3,run_29,Baseline 100%T.4,run_30,run_31,Baseline 100%T.5,run_32,run_33,run_34,run_35,run_36,run_37,Baseline 100%T.6,run_38,run_39,run_40,Baseline 100%T.7
2500,7.61043644,53.37540436,53.17584991,51.83412933,7.656585217000001,49.64801407,46.59669876,42.38653564,37.53847885,7.713956356000001,100.1240463,7.735054016,100.0463638,7.750263213999999,19.50982094,51.85194016,7.78594923,37.99294281,37.62949753,36.89671326,31.97262955,20.4386692,10.93974972,7.829623699,2.256944656,4.609717369,9.515215873999999,7.85048008
2495,7.804327487999999,53.49187088,53.18870544,51.81361389,7.8542366029999995,49.62712097,46.57626343,42.3198204,37.44524384,7.9159231189999995,100.1238022,7.934026241000001,100.100502,7.9544568060000005,19.50258827,51.72606659,7.991063595,37.2951088,36.94070816,36.26097488,31.43788338,20.10401917,10.82730484,8.03493309,2.277848721,4.551220894,9.619138718,8.05840683
2490,8.032329558999999,53.47267914,53.15854645,51.79002762,8.081986427,49.61621857,46.53355789,42.25045013,37.35461426,8.144304276,100.1272812,8.164470673,100.0838776,8.183236122,19.49304962,51.61164856,8.220925331,36.60761261,36.23523331,35.618408200000005,30.85482979,19.73761177,10.5795126,8.265842438,2.2369639869999998,4.421624184,9.536823273,8.289336205
2485,8.258366585,53.42506027,53.15564346,51.77780533,8.311232567000001,49.58785629,46.47028732,42.18916702,37.26705551,8.373560905,100.1519318,8.395446777,100.10861209999999,8.415779114,19.52567863,51.51512527,8.454597473,35.9184494,35.56834793,34.97574615,30.28556061,19.39611435,10.38670921,8.500747681,2.230362654,4.339689255,9.580339432,8.524800301
2480,8.55874157,53.41514969,53.13661194,51.77562714,8.612802505,49.57126617,46.44351959,42.11045074,37.16145325,8.677518845,100.1236115,8.699298858999999,100.0775223,8.720015526000001,19.56054115,51.40494537,8.758628845,35.21789169,34.85971832,34.31411743,29.69696808,19.00061798,10.140911099999999,8.805344582,2.219833136,4.2441196439999995,9.525389671000001,8.830002785
2475,8.858364105,53.38969421,53.14476395,51.74769592,8.913730621000001,49.54969406,46.40729904,42.05271149,37.05918121,8.978971481,100.135231,9.001004219,100.0852203,9.022846222,19.61444855,51.30017853,9.064428329,34.54009247,34.19517517,33.68951035,29.1359272,18.6706028,9.954612732000001,9.110857964,2.22248888,4.1747961039999995,9.567890167,9.135070801
2470,9.034388542,53.33908081,53.12006378,51.72948837,9.090245247,49.52096558,46.35330582,41.97158051,36.93592072,9.158383369,100.13164520000001,9.181228638,100.0893021,9.202213287000001,19.71974754,51.17243576,9.244805336,33.85483932,33.51390839,33.02815628,28.54741287,18.28744507,9.684217452999999,9.293169975,2.208062887,4.096657276,9.506258965,9.320921898
2465,9.432104111000001,53.37631226,53.11705399,51.70687866,9.489414215,49.48902893,46.30593491,41.89003372,36.83177948,9.55801487,100.1206665,9.581317902,100.0810776,9.604963303,19.84237099,51.05184937,9.646909714,33.18766785,32.85087585,32.39554596,27.99026108,17.96072197,9.475171089,9.696972847,2.220365524,4.062899113,9.539709091,9.720160483999999
2460,9.720357895,53.404434200000004,53.12889099,51.70415115,9.778364182,49.46719742,46.2710228,41.81380844,36.72133255,9.849672318,100.1247025,9.871734619,100.074852,9.897275925,19.98612976,50.94024658,9.94124794,32.52166748,32.19927597,31.74497795,27.44148445,17.5984478,9.258735657,9.991067886,2.206110716,4.027245045,9.501196861,10.017636300000001
2455,10.06510735,53.3968811,53.11655426,51.70653915,10.12545776,49.44688416,46.21722794,41.73501205,36.59205627,10.20019913,100.12496949999999,10.22479248,100.09075159999999,10.25118923,20.1581707,50.825244899999994,10.29511547,31.87931252,31.56072426,31.11349678,26.90627289,17.25327301,9.040844917000001,10.34809685,2.1791076659999997,3.99731946,9.499248505,10.37527752
2450,10.34068203,53.35537338,53.1115036,51.68840408,10.40252113,49.42907715,46.16106033,41.64535522,36.46493529999999,10.47723579,100.1456528,10.50411987,100.07542420000001,10.529952999999999,20.35581207,50.70776367,10.57659626,31.26755142,30.93805313,30.50683975,26.39644241,16.94435501,8.83809185,10.63183308,2.165474653,3.971011639,9.489439011,10.66110134
2445,10.7245121,53.35911942,53.10488892,51.66304016,10.78999043,49.38846588,46.10036469,41.55736160000001,36.34649277,10.86799431,100.12358090000001,10.89123821,100.1015167,10.92019844,20.58817863,50.60460663,10.96811581,30.668268199999996,30.36064148,29.89999962,25.89884186,16.63290215,8.644911766,11.02407169,2.1253147130000003,3.9687480930000003,9.470882416,11.05581093
2440,11.19570541,53.37652588,53.08240509,51.64397812,11.26155949,49.36670685,46.07775497,41.47088242,36.23046875,11.34157467,100.128685,11.36676884,100.09263609999999,11.39685917,20.83249474,50.47879028,11.44630718,30.12092781,29.80221748,29.32844734,25.42794609,16.31926537,8.490298271,11.5014143,2.093324184,3.953878164,9.462347031,11.53380013
2435,11.49549675,53.40283585,53.08894348,51.62604904,11.56610489,49.32997513,46.02164078,41.39002991,36.10033035,11.65104675,100.1150131,11.67703629,100.10827640000001,11.70635414,21.088066100000002,50.35294724,11.75882912,29.58811188,29.28711128,28.7924614,24.99983215,16.06067276,8.34780407,11.81845284,2.051067352,3.9414081569999997,9.472927094,11.85274887
2430,12.02635384,53.36059189,53.06253433,51.60020065,12.09586239,49.29269791,45.98342896,41.28842163,35.97191238,12.18338299,100.1050949,12.20828247,100.1064453,12.24207592,21.38487053,50.24691772,12.29343414,29.0806179,28.788360600000004,28.25986481,24.57773018,15.77429295,8.210989952,12.35439873,1.991387129,3.925789595,9.427089691,12.38836575
2425,12.49802971,53.34743118,53.04868317,51.58222198,12.57121086,49.2468338,45.9112854,41.22050476,35.82366562,12.66122627,100.1040726,12.68629265,100.1027679,12.72181892,21.67315483,50.1319809,12.77527523,28.61329842,28.32718277,27.76868439,24.19419479,15.53803635,8.110433578,12.83659363,1.940476298,3.903043747,9.440783501,12.87133121
2420,12.95932388,53.32957077,53.032314299999996,51.54261017,13.03545666,49.21324158,45.85652161,41.12918854,35.68614578,13.12683105,100.1158829,13.15272903,100.0945663,13.18924427,21.95546341,50.03344345,13.24541855,28.16522789,27.88846588,27.31581116,23.82674408,15.30882072,8.037984847999999,13.30975151,1.880559325,3.8669888969999997,9.455109596,13.34701157
