wavelength,Baseline 100%T,Baseline 0%T,VG05,VG01,VG06,VG02,VG02_pos2,VG02_pos3,VG02_pos4,VG03_pos1,VG03_pos2,VG04_pos1,VG04_pos2,VG06_post,Baseline 100%T.1,Baseline 0%T.1,VG05_post
2500,7.427118778,-0.001233500545,53.44220352,53.46673584,53.26279831,36.73754501,52.97230911,53.064991000000006,33.51265335,38.42193222,52.00098038,25.86162186,54.21126556,53.93852615,7.585160255,6.684759137e-05,53.52186584
2490,7.814319611,-0.001347292447,53.43076706,53.48458862,53.28832245,36.67827988,53.00161362,53.10456848,33.58802795,37.25441742,52.00122452,25.78409958,54.29377747,53.99093628,7.991348743,0.0002073429205,53.39387131
2480,8.378715515,-0.0008377652848,53.50493622,53.48173904,53.299366000000006,36.47394562,53.02513123,53.11955261,33.55770493,36.03536606,51.96908188,25.83531761,54.25370789,53.96316147,8.566405296000001,3.385428499e-05,53.49346542
2470,8.825397491,-0.001670021215,53.37726593,53.47412872,53.29953003,36.20426178,53.00200653,53.10367203,33.459510800000004,34.83848572,51.94159698,25.70676422,54.26666641,53.97063446,9.022456169,-0.00012711439920000002,53.40670776
2460,9.592031479,-0.00138405594,53.37683487,53.46980286,53.29036713,35.95513916,53.008461,53.09202576,33.41516495,33.56981659,51.89875412,25.67559242,54.24507141,53.95054245,9.799633026,-0.0007365244091000001,53.35288239
2450,10.16228294,1.87337173e-05,53.43616104,53.44901657,53.25436401,35.70307541,52.98153687,53.07583618,33.436798100000004,32.25574875,51.89953995,25.63781166,54.22249603,53.94091034,10.38401318,0.0006343835848,53.43139267
2440,11.10680962,-0.001573760877,53.37546921,53.43795395,53.26262665,35.56127167,52.97689438,53.07451629999999,33.55376816,30.96268463,51.87364960000001,25.64555359,54.19596481,53.91497803,11.34223747,-0.0007587792934,53.39593887
2430,11.92858219,-0.0006380801206,53.34985733,53.39651108,53.22232819,35.49808121,52.946739199999996,53.04277420000001,33.66535568,29.70109367,51.8461647,25.59416962,54.17125702,53.87868118,12.17712498,0.0002692957059,53.382553099999996
2420,12.84568024,-0.0005881750258,53.33337021,53.40562439,53.22819519,35.60148239,52.95738983,53.05508423,33.74349594,28.54239655,51.83569336,25.56207275,54.17141724,53.89209366,13.11925983,-0.0010653031059999999,53.30184174
2410,13.94301033,-0.001235576696,53.32872772,53.37417603,53.20837021,35.78556824,52.95982361,53.04954147,33.71717834,27.51801872,51.81935501,25.50876236,54.16239548,53.88063049,14.23699093,0.001070311526,53.29730988
2400,15.15835571,-0.001437997445,53.33421707,53.37967682,53.20624542,36.03246689,52.94942856,53.04917145,33.63341522,26.65656853,51.80207443,25.45216942,54.14691544,53.87818146,15.47693348,0.0005681684706,53.29666138
2390,16.49286652,-0.0014633063690000002,53.33645248,53.35799408,53.19258499,36.26084518,52.936798100000004,53.02744675,33.49766541,25.94625664,51.75868225,25.39769363,54.11643219,53.84167862,16.83660889,-0.0007676205132,53.28678894
2380,18.00468445,-0.0007624336286,53.29037857,53.35961533,53.18777466,36.34782791,52.92829895,53.02488327,33.45023727,25.3808918,51.73723221,25.35376549,54.09559631,53.82068253,18.37749863,0.001076811692,53.24019623
2370,19.62462807,-0.001306030434,53.31762314,53.36071777,53.18929672,36.32954788,52.92723846,53.03300095,33.48514938,24.9295063,51.72600555,25.34182358,54.088741299999995,53.80591583,20.02931595,-0.0005489845643999999,53.27148438
2360,21.26463509,-0.0009197906475000001,53.28163528,53.35620117,53.16975784,36.19485855,52.91536331,53.011108400000005,33.55784607,24.52836227,51.71086884,25.33069038,54.0617218,53.78106689,21.69773483,1.6238227539999998e-05,53.2351799
2350,22.69275856,-0.000304178393,53.29463959,53.35358429,53.16401672,35.99385071,52.90722656,52.98897552,33.55445099,24.13568878,51.69750595,25.27012825,54.04384232,53.75659561,23.14518547,-0.0001707717311,53.25930786
2340,23.72661209,-0.0005626442144,53.25051498,53.33551788,53.15824127,35.75656891,52.89332962,52.97114944,33.46600342,23.71270943,51.68973923,25.2430439,54.00426483,53.72610092,24.18410492,0.0005420909729,53.2296257
2330,24.03633881,0.0003144890943,53.06919098,53.15016556,52.97904205,35.45218658,52.71133804,52.78533173,33.26292801,23.16865921,51.52028656,25.14201736,53.81075287,53.52936554,24.40800858,-0.00019101453649999998,53.21284485
2320,22.92892075,-0.0008315174491000001,53.2383728,53.29924393,53.12981033,35.44629669,52.86059952,52.93881226,33.35842896,22.7452755,51.67355347,25.19176674,53.96026993,53.67805481,23.34106064,-0.0002625915513,53.21383667
2310,20.54205894,-0.0003822076833,53.25508118,53.3156929,53.141170499999994,35.44887924,52.88051987,52.96391678,33.48656464,22.27321625,51.69179535,25.17346191,53.96146011,53.69900894,20.9137764,0.001016067341,53.21936035
2300,17.14125443,-0.0015747054709999999,53.2906723,53.33892822,53.15260315,35.5933609,52.90598297,53.00183105,33.66517258,21.88730431,51.71373367,25.17759132,53.98204803,53.72466278,17.45543861,-0.0009490332450000001,53.23612213
2290,13.49142361,-0.0014891910829999998,53.33545685,53.36585236,53.17753601,35.81980896,52.95087051,53.06280899,33.77755737,21.62956619,51.76130676,25.20337677,54.02695465,53.75629807,13.74295521,0.0003755530925,53.28176117
2280,10.25174999,-0.0009556098958,53.36489868,53.43008041,53.22714996,36.10645676,53.03541565,53.14878082,33.84502411,21.5103302,51.8507309,25.22252274,54.10411453,53.8391037,10.45406532,-0.00044862041250000003,53.30792236
2270,7.839286327000001,-0.001968936995,53.38296127,53.48594666,53.25247574,36.31852722,53.08701324,53.22153091,33.87401581,21.56387711,51.95234299,25.23968887,54.14426804,53.91558456,8.003741264,-0.000111936366,53.29985809
2260,6.878718853,-0.00128362223,53.37043381,53.42551422,53.32896805,36.30899429,53.08338928,53.16266251,33.84977722,21.6645031,51.9765625,25.25483894,54.20244217,53.950763699999996,7.019694328,-0.0004134493356,53.36180496
2250,8.3966465,-0.001301515498,53.34439087,53.38191223,53.26849747,36.23471069,53.03896713,53.10998535,33.85211563,21.82509041,51.93687057,25.1810112,54.13222504,53.89330292,8.560948372,-0.00116900471,53.3506813
2240,9.427620888,-0.001202606945,53.31933975,53.37296677,53.36948013,36.08251572,53.03761292,53.12350464,33.89984894,22.06142807,51.97175598,25.15134239,54.129074100000004,53.90662003,9.613545418,-8.342150976999999e-05,53.34584808
2230,10.35681343,-0.001117274864,53.33664322,53.39427185,53.41093063,35.91654587,53.05706406,53.13207626,33.87006378,22.30390739,52.01686478,25.13507652,54.1344986,53.89479446,10.5637579,-7.245233428e-05,53.319091799999995
2220,11.31447029,-0.001017884584,53.32252884,53.39626694,53.29153442,35.77986526,53.04227448,53.14204788,33.72369003,22.531225199999998,52.02960968,25.10114098,54.11296463,53.88071442,11.54057121,-7.79032689e-06,53.30530548
2210,12.32448959,0.001007679384,53.32315445,53.37382126,53.23610306,35.69770813,53.03858948,53.12682343,33.52779007,22.72912788,52.03758621,25.08013153,54.09010696,53.850811,12.569546699999998,-0.00010121176459999999,53.28677368
2200,13.23757458,-0.001590458909,53.30305862,53.383071900000004,53.239048,35.70996857,53.03796005,53.1219902,33.45008469,22.96274567,52.05620956,25.06820488,54.07334137,53.83894348,13.49753761,-0.0007396425353000001,53.27125168
2190,13.18504238,-0.001441041939,53.29792023,53.36270905,53.23807144,35.82505798,53.02220535,53.10427094,33.50823975,23.27066612,52.07345581,25.07246971,54.04124832,53.81977081,13.43704033,8.716629236e-05,53.28414917
2180,10.97507,-0.001174611389,53.29548645,53.39260864,53.28033447,36.04704666,53.04888916,53.14514542,33.71390152,23.76338005,52.18014145,25.08863449,54.07543945,53.86729431,11.18970871,0.0006660382495999999,53.27420807
2170,10.71065426,-0.001011533896,53.31975937,53.40299606,53.27589417,36.1897049,53.0883255,53.17176437,33.80406189,24.39384079,52.27932739,25.09135628,54.10675812,53.87407684,10.92459679,0.0004441732017,53.27639771
2160,10.80580902,-0.0014182741289999999,53.31949615,53.40702057,53.27356339,36.25169373,53.08507156,53.17986679,33.84640503,25.18898773,52.35112762,25.07746887,54.10744476,53.8727684,11.02260113,0.00033461913699999997,53.28561783
2150,10.95737267,-0.0004654115473,53.32467651,53.39604568,53.28019333,36.21600723,53.07815552,53.16806412,33.94158554,26.113370899999996,52.42035294,25.05156708,54.082798,53.87001801,11.17448521,0.001410633209,53.27912521
2140,11.10704422,-0.0007698354892999999,53.30709076,53.4000206,53.28483582,36.10283661,53.08341217,53.17696381,34.07807159,27.18528557,52.49694443,25.0315876,54.09575653,53.86367416,11.32739449,-0.00010487803229999999,53.28484726
2130,11.27597427,-0.001003320212,53.30948257,53.39467621,53.28358841,35.97057343,53.08799744,53.17857361,34.18544769,28.35727882,52.559204099999995,25.02051544,54.08262634,53.86541367,11.49960041,0.0006643239176,53.27778625
2120,11.46922302,-0.0012060953300000001,53.30015945,53.38978577,53.27138138,35.88430405,53.08194733,53.18643951,34.15999603,29.57036209,52.62930298,25.03435516,54.07313538,53.87008667,11.69660282,0.0002304411755,53.27423859
2110,11.66514206,-0.001859152107,53.31286621,53.38510895,53.27718353,35.86149597,53.10161209,53.18711472,33.96060944,30.85894203,52.7227211,25.03853226,54.09180069,53.86341095,11.89525318,-5.139650966e-06,53.28052521
2100,11.86389446,-0.0014479926319999998,53.29650116,53.38059235,53.27215958,35.91394424,53.08720016,53.19489288,33.76867676,32.26062012,52.83024216,25.05074692,54.07636261,53.86629868,12.09873581,0.001102952287,53.26264572
2090,12.07124233,-0.0012079343429999998,53.289348600000004,53.38090134,53.26284027,36.01852798,53.08975601,53.188980099999995,33.59628296,33.82367325,52.91123962,25.04717445,54.07249832,53.86350632,12.30994129,0.00037344213339999996,53.26282883
2080,12.28555489,-0.001176576596,53.28437805,53.37436676,53.26165009,36.15974808,53.08706665,53.18431091,33.62112045,35.57879257,52.98715210000001,25.04027176,54.06668091,53.8552475,12.5263319,-3.623751036e-05,53.24773788
2070,12.50357437,-0.001550278859,53.29641724,53.36594009,53.2570343,36.24528122,53.09308624,53.18938446,33.65124512,37.55564879999999,53.04458237,25.03588867,54.06226349,53.85587311,12.74874401,0.0009785678702999999,53.25894928
2060,12.7387228,-0.00033358577639999997,53.27308655,53.35597229,53.24135971,36.24755859,53.08000565,53.18601608,33.68243027,39.70154953,53.08402252,25.024604800000002,54.05744934,53.84741592,12.99041367,0.00028796301919999996,53.23501968
2050,12.97757339,-0.001019043732,53.26893234,53.35839462,53.32458496,36.16143036,53.087390899999995,53.18507385,33.82274246,41.96299744,53.09875488,25.02702713,54.042202,53.83860016,13.23222351,0.0001017469549,53.24014282
2040,13.22761631,-0.0014151502400000001,53.27025223,53.35216522,53.34483337,36.05092621,53.098083499999994,53.19064713,34.0550499,44.27614594,53.09187317,25.03406906,54.03908539,53.83991623,13.48675632,0.0008914591744999999,53.24166489
2030,13.48363781,-0.000852043042,53.26392746,53.34792328,53.23677063,35.97388458,53.124298100000004,53.19012833,34.24590683,46.52772522,53.0594101,25.05178833,54.02702713,53.83552933,13.74878407,-0.0001234949013,53.23434448
