wavelength,Baseline 100%T,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
2500,187.03370669999998,99.98895264,99.99824524,49.95648956,49.94897079,50.37491989,99.96453857,49.56583786,49.56741333,49.94112396,49.46825027,99.98471069,49.34161758,52.60397339,58.34217072,52.37082291,55.26013947,64.99259186,75.48183441,99.95088959
2498,186.9496155,99.99090576,100.00080870000001,49.96089172,49.95323944,50.37944794,99.96742249,49.57277298,49.57104492,49.94527054,49.48173904,100.002739,49.28754044,52.61724472,58.3566246,52.38487244,55.29504395,65.01276398,75.49121094,99.97577667
2496,186.8522949,99.9942627,99.99971008,49.96858597,49.95877838,50.38085556,99.9745636,49.58071136,49.57761765,49.94736481,49.48945236,100.0070724,49.24359512,52.62832642,58.36423492,52.389328000000006,55.31772995,65.0193634,75.46417999,99.98775482
2494,186.756958,99.99317169,99.99491119,49.9711647,49.96202469,50.38455582,99.97088623,49.57696915,49.58556747,49.9591713,49.49782181,100.0063553,49.20919418,52.63270187,58.37424469,52.39689255,55.33838272,65.02351379,75.44088745,99.97822571
2492,186.701828,99.99794006,99.99609375,49.97086716,49.96298981,50.3795929,99.96849823,49.57864761,49.57786179,49.96225739,49.48369598,99.99161529999999,49.19143295,52.63373184,58.37516785,52.39266586,55.35258484,65.0213623,75.39442444,99.95639801
2490,186.6875,99.9858017,99.99513245,49.96131516,49.94742584,50.36534119,99.96030426,49.57294464,49.56476212,49.93531418,49.44621658,99.96859741,49.16144943,52.61927795,58.361892700000006,52.38221359,55.35837936,65.00215912,75.35383606,99.92858124
2488,186.6955261,99.99285126,99.99037933,49.95233536,49.94055176,50.35687256,99.94536591,49.559150700000004,49.563796999999994,49.91941833,49.41518402,99.95549774,49.14518738,52.61299133,58.35322189,52.37310028,55.37020493,64.9881134,75.32911682,99.91201782
2486,186.7177124,99.99229431,99.99635315,49.95316696,49.94482422,50.36177826,99.94826508,49.56105804,49.56401062,49.91597366,49.40559387,99.95816040000001,49.13977051,52.61569214,58.35736465,52.37386322,55.38412857,64.98679352,75.2950058,99.9045105
2484,186.763031,100.0018692,100.0013962,49.95383453,49.94102097,50.36378479,99.95511627,49.56565475,49.55755615,49.91181946,49.38469696,99.96502686,49.16434479,52.61772919,58.35969543,52.3727951,55.4008255,64.98332977,75.26298523,99.91105652
2482,186.8453217,99.99476624,99.98933411,49.95036697,49.94216537,50.36823273,99.95870209,49.55918121,49.56274414,49.9065094,49.36919403,99.97172546,49.21615601,52.61766434,58.35791779,52.37494659,55.41459274,64.98494720000001,75.24148559999999,99.92249298
2480,186.9375,99.99123383,99.99431609999999,49.94899368,49.938796999999994,50.37247086,99.96734619,49.55899811,49.56000519,49.90507507,49.3537941,99.97970581,49.27887344,52.61986160000001,58.35580826,52.37981033,55.4367485,64.98420715,75.20389557,99.92080688
2478,187.029129,99.99234009,99.99687195,49.94549942,49.93401337,50.37540817,99.96230316,49.55620193,49.55649948,49.90719223,49.33874893,99.97584534,49.32973862,52.61566544,58.34934235,52.38001251,55.4524765,64.97834778,75.16999817,99.91708374
2476,187.1548004,99.99375916,99.99816895,49.93539047,49.92036438,50.36945343,99.95878601,49.54533386,49.54758453,49.90299988,49.31718826,99.97408295,49.38637161,52.60743332,58.3338089,52.36903381,55.45809937,64.96142578,75.13764954,99.91930389
2474,187.26136780000002,100.00466920000001,100.0115891,49.92861176,49.91798019,50.37070084,99.97454834,49.53918076,49.53501511,49.89843369,49.31324005,99.98532867,49.45097733,52.60506821,58.32081604,52.36608887,55.47259521,64.95478058,75.09295654,99.93279266
2472,187.35682680000002,99.99772644,100.0019531,49.92692184,49.91207886,50.36829758,99.96880341,49.53468323,49.53192902,49.89717484,49.30899811,99.98554229999999,49.51942062,52.599823,58.31027603,52.36281586,55.48374176,64.94712829999999,75.064888,99.9221344
2470,187.3948975,100.0068436,100.00766750000001,49.93274689,49.91545105,50.37353516,99.98574829,49.53439331,49.53639984,49.91147232,49.30925751,99.98915863,49.5953331,52.6062851,58.30588913,52.36732483,55.50298691,64.95049286,75.04583740000001,99.93154144
2468,187.415863,99.99897003,99.9982605,49.92718506,49.91502379999999,50.36903763,99.97841644,49.53078842,49.5296669,49.90967178,49.3090744,99.99291992,49.65657425,52.60412598,58.300197600000004,52.36919403,55.52338791,64.94586945,75.01490021,99.9340744
2466,187.39527890000002,99.99956512,99.99979401,49.93685532,49.9227066,50.37613678,99.97676086,49.53650665,49.53734207,49.91324615,49.31517792,100.0020752,49.73354721,52.61711502,58.31135941,52.38316727,55.55900192,64.96169281,75.01218414,99.95614624
2464,187.39140319999998,100.00215909999999,99.99991608,49.94174957,49.92877579,50.39029694,99.97401428,49.53816986,49.53796387,49.91742325,49.31945801,99.99208832,49.83021164,52.62239456,58.31177139,52.39172745,55.58428955,64.96697998,74.98064423,99.95343018
2462,187.3679199,99.99623108,99.99650574,49.94361877,49.93376541,50.39846420000001,99.97884369,49.53969955,49.54526901,49.92365646,49.32432938,100.00814059999999,49.9241333,52.63064575,58.31447983,52.39671326,55.61072922,64.97842407,74.96697235,99.95944214
2460,187.35775759999999,99.99624634,100.0034943,49.93758011,49.927948,50.40182495,99.97969818,49.53384399,49.54397964,49.91926956,49.31299591,100.0043182,50.01071167,52.62582779,58.30741119,52.39242935,55.6296463,64.96954346,74.9438858,99.95042419
2458,187.3633728,99.99492645,100.0030289,49.92639923,49.91442108,50.39316559,99.96865082,49.522686,49.5315094,49.90233994,49.30625153,99.99272156,50.06962967,52.61700821,58.29522705,52.37963867,55.6430397,64.96012878,74.90111542,99.94007111
2456,187.34759519999997,99.99617004,99.99623871,49.93349838,49.91837692,50.40158081,99.96978759999999,49.53011703,49.5341568,49.90917206,49.32306671,99.98599243,50.11725998,52.624767299999995,58.30292511,52.38920593,55.67243576,64.9693985,74.89883423,99.93535614
2454,187.3565979,99.99630737,99.99506378,49.93683243,49.92095947,50.40506744,99.96485138,49.52881241,49.53196716,49.90905762,49.33702469,99.98009491,50.14521408,52.62646103,58.30467224,52.38482285,55.69656372,64.97037506,74.88426971,99.93425751
2452,187.3605499,99.99665833,99.99288177,49.94301224,49.92479706,50.40527725,99.9690094,49.52880859,49.53261566,49.91688156,49.36156464,99.98548126,50.14131546,52.62758636,58.30770874,52.38957214,55.72087097,64.96981049,74.86268616,99.92510986
2450,187.39598080000002,99.9955368,100.004921,49.94591904,49.92863464,50.40701675,99.96679688,49.53013611,49.52724075,49.91314697,49.36958694,99.98680878,50.13513565,52.63243866,58.3203392,52.38925171,55.74350357,64.96630096,74.84786224,99.92018127
2448,187.4275513,100.0018005,100.0035172,49.94565964,49.93188095,50.40877914,99.97438812,49.53007126,49.52278137,49.89260101,49.37921143,99.98340607,50.12398911,52.63644028,58.33102036,52.38994217,55.77025986,64.98412323,74.83840942,99.92285156
2446,187.4438324,99.99745941,99.9954071,49.94568253,49.93215942,50.41287613,99.96713257,49.52975082,49.5259819,49.8820076,49.38697815,99.97220612,50.11054993,52.64154053,58.343048100000004,52.39613724,55.79837036,64.98009491,74.83097076,99.92066193
2444,187.4913635,99.98791504,99.99118042,49.9480629,49.93402863,50.41504669,99.96820831,49.53406906,49.53129959,49.87591553,49.39921188,99.98390198,50.09241867,52.65330505,58.36407089,52.40631104,55.83138275,64.99564362,74.80848694,99.93135834
