wavelength,run_11,run_12,run_13,Baseline 100%T,run_14,run_15,run_16,run_17,Baseline 100%T.1,run_18,run_19,run_20,run_21,Baseline 100%T.2,Baseline 100%T.3,run_22,run_23,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33
2500,52.05990219,99.51742554,99.99201965,97.68600464,52.43743515,52.51924515,52.10348892,53.13100815,97.59835815,52.40213776,52.29990005,52.87841034,52.40747833,97.57176971,98.18070984,99.77351379,51.9000473,51.24887848,52.06454468,99.73756409,99.98696136,50.14154816,50.02607727,51.32269287,50.96847916,100.0030289
2495,52.14027023,99.52274323,100.0008545,97.715065,52.39673233,52.49946213,52.22436142,53.13269424,97.62480164,52.41290283,52.31311417,52.8758812,52.41254425,97.61164093,98.22096252,99.76837158,51.91539001,51.18907547,52.07341385,99.73181152,99.99257659999999,50.12675476,50.00854874,51.30919647,50.953411100000004,99.99886322
2490,52.15805054,99.51213837,99.99073029,97.75022888,52.36283493,52.47464752,52.24919891,53.12970734,97.66169739,52.41080475,52.30922699,52.85571671,52.39672089,97.63847351,98.24549866,99.77574921,51.91727448,51.18491745,52.07788849,99.7321167,100.0007858,50.12393188,50.00880814,51.32228851,50.95746613,100.0009918
2485,52.07544708,99.52539063,99.9944458,97.77018738,52.42521286,52.51422119,52.1858139,53.12893295,97.68925476,52.39455795,52.29145813,52.87134171,52.38311768,97.66455841,98.27725983,99.7753067,51.88012695,51.21191025,52.07172012,99.73602295,99.9903183,50.10647202,49.98872757,51.30733871,50.94348145,99.99243927
2480,52.08578873,99.50880432,99.99085999,97.79351807,52.51496506,52.59857941,52.16184235,53.13109207,97.70335388,52.38471603,52.29602432,52.92634201,52.39439011,97.67839813,98.29164886,99.77563477,51.89322662,51.225471500000005,52.07910538,99.73441315,99.9941864,50.10603714,49.98875427,51.31200027,50.94727707,99.99791718
2475,52.16130066,99.51779938,99.99750519,97.83230591,52.57671356,52.65778351,52.10227203,53.14125443,97.7461853,52.36363983,52.29808044,52.97291183,52.40823746,97.71775818,98.33351898,99.77489471,51.89521408,51.21141052,52.063720700000005,99.73924255,99.98854065,50.08631516,49.96582031,51.29820633,50.93167496,99.99606323
2470,52.15250397,99.51391602,99.99415588,97.8613739,52.59665298,52.68273926,52.04748535,53.13820267,97.76887512,52.36688232,52.30780411,52.99259567,52.42540359,97.74726868,98.35993958,99.77701569,51.89700699,51.22970963,52.06757736,99.73630524,99.9920578,50.08546829,49.96689987,51.30012512,50.93262863,100.0007172
2465,52.14868927,99.51560211,100.00046540000001,97.89282990000001,52.55826569,52.67856216,52.09812546,53.1452179,97.80405426,52.38033676,52.312213899999996,53.00914764,52.42688751,97.78153229,98.39078522,99.77914429,51.90342712,51.15459061,52.06868744,99.74170685,99.99101257,50.07740784,49.95156479,51.29137039,50.92635727,100.00395970000001
2460,52.16588974,99.52194977,99.99394989,97.92047882,52.52224350000001,52.655731200000005,52.12747574,53.14522934,97.82977295,52.38221741,52.31105804,52.99804688,52.41983414,97.80619049,98.41876984,99.77786255,51.90237808,51.12965012,52.07325745,99.73876953,99.99411774,50.07082367,49.94908142,51.28670883,50.92778778,100.0010605
2455,52.14030075,99.51045227,100.00015259999999,97.97250366,52.53460312,52.65039825,52.119213099999996,53.15042114,97.88616943,52.36270523,52.29793167,52.98989868,52.41267776,97.86212158,98.47474670000001,99.77238464,51.89078522,51.16404343,52.06644058,99.73647308,99.99246216,50.05140305,49.93278122,51.27448273,50.91065216,99.99645233
2450,52.11573792,99.50524139,99.99050903,98.01075745,52.55712128,52.66891861,52.09315491,53.15077972,97.92341614,52.36575699,52.29841614,53.00506973,52.40787888,97.90252686,98.50894928,99.78129578,51.88677216,51.179142,52.070079799999995,99.74505615,99.99698639,50.0520401,49.93540573,51.282340999999995,50.91667938,100.0001907
2445,52.11495209,99.50795746,99.99534607,98.04717255,52.52637863,52.67300415,52.10204315,53.15205383,97.96549988,52.37275314,52.30129242,53.01455307,52.40799332,97.94980621,98.55541992,99.77576447,51.88292694,51.10500336,52.07141495,99.74241638,99.9910965,50.03977585,49.92282867,51.27268982,50.908767700000006,100.0034943
