wavelength,Baseline 100%T,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10,run11,run12,run13,Baseline 100%T.1,run14,run15,run16,run17,run18,run19
2500,97.5716629,99.99266052,99.92565155,104.6875458,100.5449905,100.3444672,100.0748291,100.8925552,101.0919724,99.81539154,84.95915222,98.35961151,99.39865112,99.96568298,97.48191071,99.43672943,100.2929001,99.31091309,100.1708527,100.220047,99.98796844
2498,97.5618515,99.98967743,99.94348907,104.68527979999999,100.5686417,100.35891720000001,100.0817261,100.90609740000001,101.1126633,99.8640213,85.09397888,98.37385559,99.42938232,99.93080139,97.52400970000001,99.40994263,100.2569046,99.30006409,100.1452103,100.1708145,100.0016327
2496,97.5453949,99.98854065,99.96379852,104.65772249999999,100.5926819,100.3872375,100.0855179,100.9228973,101.1294479,99.91493225,85.23656464,98.40682983,99.43693542,99.90592957,97.56018829,99.36092377,100.24256899999999,99.25893402,100.11031340000001,100.1281738,100.02557370000001
2494,97.52267456,100.005188,100.00784300000001,104.6487808,100.62580109999999,100.41999820000001,100.10952759999999,100.9433517,101.1613235,99.97375488,85.31492615,98.43122101,99.45240784,99.90276337,97.60533905,99.30849457,100.2085571,99.21511078,100.0896072,100.08644100000001,100.0306702
2492,97.51944733,99.99835205,100.0114822,104.6187134,100.63501740000001,100.4279938,100.1258698,100.9543533,101.1700974,99.99455261,85.34020996,98.39421844,99.4516983,99.91761017,97.65328217,99.26148987,100.1741562,99.17195129,100.0418777,100.0413666,100.03306579999999
2490,97.52178955,100.0085678,99.98745728,104.5849762,100.6155624,100.4049454,100.1346207,100.96660609999999,101.1738663,100.00695040000001,85.3825531,98.38631439,99.46749878,99.95195007,97.70587158,99.21614075,100.1356125,99.10954285,100.0164948,100.00897979999999,100.01600649999999
2488,97.54724121,100.00897979999999,99.95135498,104.5241928,100.5808945,100.37127690000001,100.1193848,100.9497986,101.14858249999999,99.98045349,85.41146851,98.38031769,99.46009827,99.97605133,97.73954773,99.1943512,100.124649,99.07224274,100.0187149,99.98665619,99.98983765
2486,97.56656647,100.0070953,99.93565369,104.4877396,100.544487,100.3459015,100.1266022,100.9489441,101.13731379999999,99.95385742,85.39282990000001,98.34459686,99.44509888,100.0197983,97.7517395,99.18984985,100.14733890000001,99.05011749,100.01017,99.98530579,99.96053314
2484,97.5879364,100.0126801,99.89344788,104.4204102,100.4792175,100.2842407,100.1483917,100.9561691,101.122139,99.91619109999999,85.28757477,98.29161835,99.42874146,100.03829959999999,97.7487793,99.18944549999999,100.19107059999999,99.03289032,100.0187531,100.0093079,99.92771149
2482,97.61759186,100.010643,99.83657074,104.3255692,100.4072037,100.2122269,100.160347,100.9547272,101.1042099,99.85949707,85.13933563,98.25157928,99.41889954,100.03384399999999,97.70155334,99.242836,100.2810593,99.04689026,100.04396059999999,100.0805588,99.929245
2480,97.63996887,100.0001907,99.77170563,104.2253113,100.3274765,100.1191254,100.16540529999999,100.9579926,101.0748062,99.80486298,85.10824585,98.26034546,99.40195465,100.02064509999998,97.6318512,99.31571198,100.3528748,99.07096863,100.08670040000001,100.143364,99.9417038
2478,97.64877319,100.0066757,99.7298584,104.1559448,100.2846222,100.0659943,100.1681366,100.963768,101.0672302,99.77398682,85.07926178,98.27539063,99.394104,100.00394440000001,97.57610321,99.37236023,100.4263611,99.09955597,100.14400479999999,100.1959,99.96227264
2476,97.66061401,99.99690247,99.69441986,104.0890656,100.2390594,100.0154343,100.17969509999999,100.9690552,101.0641251,99.75287628,85.03408051,98.24671936,99.37998199,99.97815704,97.53030396,99.42436981,100.4989777,99.12673187,100.1904755,100.24465179999999,99.99619293
