wavelength,Baseline 100%T,run11,run12,run13,run14,Baseline 100%T.1,run15,run16,run17,run18,run19,run20,run21,Baseline 100%T.2,run22,run23,run24
2500,1.401937485,100.0995636,100.0717392,98.74609375,100.3817291,3.97961545,99.92041779,100.43544770000001,73.32807159,100.6093292,98.28194427,100.7099152,100.46017459999999,4.0000481610000005,99.07913971,99.97955322,100.05934140000001
2498,1.392137647,100.06752009999998,100.087677,98.53852844,100.3635559,4.070785046,100.1216736,100.4314041,73.31770325,100.4756927,98.526474,100.6609421,100.4949188,4.092937469,99.06336975,99.98641968,100.0917892
2496,1.390803099,100.0458221,100.0824203,98.45326233,100.40167240000001,4.082677841000001,100.26632690000001,100.4371262,73.45459747,100.44581600000001,97.92936707,100.5947571,100.5322571,4.104837894,99.03566742,100.03591920000001,100.12338259999999
2494,1.3928422930000002,100.0415115,100.11952209999998,98.30942535,100.41398620000001,4.065574169,100.44553379999999,100.44413759999999,73.63015747,100.34642029999999,97.74012756,100.6294479,100.50104520000001,4.087879181,99.00275421,100.0304718,100.1267548
2492,1.387205601,100.10897829999999,100.12253570000001,98.4192276,100.4352417,4.117846966,100.46221159999999,100.4725571,73.54405975,100.4494553,98.09629059,100.61047359999999,100.4961166,4.140632153,98.97202301,100.0163803,100.0950699
2490,1.379650712,100.0947266,100.1030655,98.50138092,100.4807434,4.189599037,100.39584350000001,100.4661942,73.40536499,100.44981379999999,97.82534027,100.63694759999998,100.5146713,4.2135415080000005,98.95559692,99.99284363,100.04653929999999
2488,1.371957302,100.0702286,100.0783691,98.52690125,100.41611479999999,4.2642774580000005,100.2557526,100.4578934,73.29517365,100.4693375,98.00814819,100.6516342,100.4948959,4.287231922,99.03015137,100.0115662,100.0604401
2486,1.370300174,100.0965958,100.1049728,98.51556396,100.4748917,4.281537056,100.2541809,100.4625702,73.36728668,100.5086517,97.93167877,100.6528244,100.4908295,4.304734707,99.02500153,100.0161057,100.03903199999999
2484,1.364995599,100.0779114,100.07936099999999,98.49478912,100.4239349,4.334663391,100.3043747,100.4386444,73.47906494,100.4830856,97.78739929,100.71771240000001,100.48979190000001,4.3582415580000005,99.00057983,100.00500490000002,100.0426178
2482,1.3579882380000001,100.1136322,100.1284027,98.56710815,100.462471,4.4056444169999995,100.2938843,100.4352188,73.35110474,100.5011215,98.37979126,100.7328186,100.47766109999999,4.429502487,99.02927399,99.98921967,100.04353329999999
2480,1.3490045069999999,100.0736084,100.0720062,98.56700134,100.4236069,4.496666431,100.2085114,100.4171753,73.10858917,100.473259,98.33969116,100.6355515,100.4595795,4.519473553,99.00742340000001,100.00636290000001,100.0674362
2478,1.339071512,100.1219406,100.1060104,98.57717896,100.3956909,4.600384712,100.17836,100.42195129999999,73.04098511,100.43472290000001,98.04064941,100.59987640000001,100.478447,4.623696327,98.9823761,99.99382019,100.1028671
2476,1.332038641,100.10554499999999,100.0820313,98.52754974,100.4109497,4.675992012,100.19117740000002,100.3862152,73.06304932,100.390152,98.26625824,100.600174,100.47111509999999,4.700350761,98.92486572,99.99069214,100.07803340000001
2474,1.331661701,100.0788574,100.10185240000001,98.56787109,100.3878708,4.680262089,100.13840479999999,100.41529849999999,73.15235901,100.4421921,98.06577301,100.60155490000001,100.4828491,4.704844952,98.93170166,100.0085449,100.07665250000001
2472,1.3324967620000001,100.05715179999999,100.0849152,98.65219879,100.4078522,4.67135191,100.0500946,100.4384995,73.18807220000001,100.4986267,97.97003937,100.6937637,100.4901276,4.696072102,98.90530396,100.01554870000001,100.0741119
2470,1.326886773,100.0623932,100.09479520000001,98.63260651,100.349762,4.729744911,99.99505615,100.438797,73.18067932,100.50827029999999,98.22319031,100.7026443,100.45185090000001,4.754908562,98.93009949,99.97104645,100.08354190000001
2468,1.3155218359999998,100.0693207,100.0901566,98.55922699,100.366272,4.8567891119999995,100.11708829999999,100.4331436,73.06503296,100.4332809,97.95433807,100.6497955,100.43354029999999,4.882127285,98.92945099,99.98791504,100.11668399999999
2466,1.30520153,100.06642149999999,100.1029968,98.50970459,100.3686218,4.973711967,100.1866684,100.3791199,73.00740814,100.3555984,98.05639648,100.59487920000001,100.4330978,4.998417377,98.91207123,99.98925781,100.06843570000001
2464,1.30072701,100.05991359999999,100.0938873,98.46704865,100.36262509999999,5.0231127739999994,100.2736359,100.4347534,72.99319458,100.3712311,98.34596252,100.6207199,100.4888916,5.049840927,98.87182617,100.00250240000001,100.1209869
2462,1.296713471,100.1253738,100.131012,98.50489044,100.4200439,5.073952675,100.29898829999999,100.4371796,72.92228699,100.38778690000001,98.08234406,100.5398407,100.47090909999999,5.100198269,98.81804657,99.99951935,100.0844955
2460,1.289970279,100.09761809999999,100.1175308,98.45220184,100.38625340000002,5.151785374,100.2830276,100.4275208,72.92220306,100.37464140000002,98.23333740000001,100.5689468,100.4500961,5.177941322,98.86270905,99.98852539,100.1052017
2458,1.282336116,100.0783234,100.10977940000001,98.51892853,100.35966490000001,5.243864536,100.19611359999999,100.3786087,72.92032623,100.3548508,98.29014587,100.58758540000001,100.42783359999999,5.270035743999999,98.8478241,99.98259735,100.09603879999999
